Frase,Cançó,Disc
"Amb el canvi de paradigma preferia els segons plans,
ja no estava mai segur del que pensava.",CANVI DE PARADIGMA,PER LA BONA GENT (2019)
"T’agraeixo les flors blanques i el discurs al funeral,
sé que feia temps que ja no em respectaves.",CANVI DE PARADIGMA,PER LA BONA GENT (2019)
"Aquí estic, en ple control dels meus instints",PER LA BONA GENT,PER LA BONA GENT (2019)
"Tranquil, 
que en cap arma hi trobaràs empremtes dels meus dits",PER LA BONA GENT,PER LA BONA GENT (2019)
"que encara no he dit si soc bo, encara no saps si soc bo,
encara no he dit que m’inspiri una idea, que em mogui una gran convicció",PER LA BONA GENT,PER LA BONA GENT (2019)
encara no saps si amb el meu pas pel món faig que sigui una mica millor,PER LA BONA GENT,PER LA BONA GENT (2019)
Encara no saps si soc bo. Encara no he dit si soc bo.,PER LA BONA GENT,PER LA BONA GENT (2019)
"Encara no saps si em domina la mandra, si estic espatllat per la por.",PER LA BONA GENT,PER LA BONA GENT (2019)
Encara no he dit si tinc l’ànima pura o si em vencen les baixes passions.,PER LA BONA GENT,PER LA BONA GENT (2019)
Tinc una veïna que fa dies que assaja el mateix monòleg al balcó,AQUÍ TENS EL MEU BRAÇ,PER LA BONA GENT (2019)
"Si alguna cosa volem la meva gent i jo
no és servir d’exemple, no és tenir raó.",ELS ENTUSIASMATS,PER LA BONA GENT (2019)
"Aquí volem viure entusiasmats,
aquí prenem focs que ens incendiïn la sensibilitat.",ELS ENTUSIASMATS,PER LA BONA GENT (2019)
"I busco en llocs on, per ’nar bé, no hauria de buscar!",TUBS DE VENTILACIÓ,PER LA BONA GENT (2019)
"Les estrelles venen, van,
cremen ràpid o amb els anys, 
i, com els últims raigs del sol, desapareixen.",LES ESTRELLES,PER LA BONA GENT (2019)
"De lluny es veu la glòria, 
però no serveix de molt si no es sap compartir",LES ESTRELLES,PER LA BONA GENT (2019)
"De com es perd la gent
per uns aplaudiments.",LES ESTRELLES,PER LA BONA GENT (2019)
"Però tant se val, 
això no és el que he vingut a dir,
jo vull explicar una història,
perquè tots tenim històries.",LES ESTRELLES,PER LA BONA GENT (2019)
"La vida ha estat cruenta i fugaç
però, com passar-ho bé, noi, 
ho sabien les cosines.",LES COSINES,JO COMPETEIXO (2016)
